municipality,rate,effective_at,source_urls,limitations
Elizabethtown,1.95%,2024-01-01,"https://www.elizabethtownky.org/government/departments/finance/business_licenses.php|https://codelibrary.amlegal.com/codes/elizabethtownky/latest/elizabethtown_ky/0-0-0-3243","Current city page states wages within the city and the effective rate."
Elsmere,1.75%,2026-07-01,"https://www.kentoncountyky.gov/232/Rates|https://www.kentoncountyky.gov/DocumentCenter/View/4262","Current official collector notice and July-December schedule correct the superseded 1.25% rate."
Erlanger,1.5%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
Florence,2%,"Current 2026 city forms and official budget evidence","https://florence-ky.gov/businesses/occupational-licenses/|https://florence-ky.gov/wp-content/uploads/2025/02/Budget-FY-2024_new.pdf","Current city materials establish worksite gross wages and quarterly withholding."
Fort Mitchell,1.25%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
Fort Thomas,1.25%,"2026 delegated-collector form","https://campbellcountyky.gov/egov/documents/1761592816_36117.pdf","Current official collector form."
Fort Wright,0.99%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide."
Frankfort,1.95%,"Current city code and quarterly form retrieved 2026-08-27","https://www.frankfort.ky.gov/DocumentCenter/View/567/Frankfort-Title-XI-Business-Regulations-PDF|https://www.frankfort.ky.gov/DocumentCenter/View/398/Occupational-Tax-Quarterly-Return-PDF","Official return excludes services outside Frankfort."
Grayson,1%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/grayson/latest/grayson_ky/0-0-0-22213","Current code establishes withholding and city-only compensation."
Hartford,1%,"Current city page retrieved 2026-08-27","https://hartfordky.org/pay-occupational-tax/","Current page expressly covers every employee working in the city."
Hazard,1.25%,"Current city form retrieved 2026-08-27","https://hazardky.gov/wp-content/uploads/2024/03/Payroll-Withholding-Form-1.pdf","Official form excludes outside-Hazard services."
Hillview,1.8%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/hillview/latest/hillview_ky/0-0-0-12896|https://codelibrary.amlegal.com/codes/hillview/latest/hillview_ky/0-0-0-12733","Current code establishes resident/nonresident worksite incidence and withholding."
Hodgenville,1%,"Current code; 1% effective in 2018","https://codelibrary.amlegal.com/codes/hodgenville/latest/hodgenville_ky/0-0-0-8557|https://codelibrary.amlegal.com/codes/hodgenville/latest/hodgenville_ky/0-0-0-8469","Corrects the KLC FY2023 0.75% entry."
Hopkinsville,1.95%,"Current code and 2026 form","https://codelibrary.amlegal.com/codes/hopkinsville/latest/hopkinsville_ky/0-0-0-5463|https://codelibrary.amlegal.com/codes/hopkinsville/latest/hopkinsville_ky/0-0-0-5511|https://cms2.revize.com/revize/hopkinsvilleky/document_center/Finance/Tax_Forms/2025%20INDIVIDUAL%20WITHHOLDING%20LETTER%20TO%20EMPLOYEE%20%26%20FORM.pdf?t=202512261522150","Current code expressly covers residents and nonresidents working in the city."
Horse Cave,1%,"Current city forms page retrieved 2026-08-27","https://www.horsecaveky.org/forms-ordinances","Current city material identifies payroll paid in the city."
Hurstbourne Acres,1%,"Enacted 2024-04-11; effective upon enactment and publication","https://hurstbourneacresky.gov/api/blob/viewBlob?i=nKJ5LZJULDEYlVHT6LAe%2fLz3bbMwQ7SbP5BvOffeQJ9NlPeLLz54oX7OAqFu2T7r|https://hurstbourneacresky.gov/api/blob/viewBlob?i=nKJ5LZJULDEYlVHT6LAe%2fNm2Grusp785IjvZLR%2fjnhj9Fr2EXixXLGkKaBkperpT|https://hurstbourneacresky.gov/api/blob/viewBlob?i=nKJ5LZJULDEYlVHT6LAe%2fFiY4PgiExEFrRG2%2ffl2mrDSBFG98BRuZjDoZzCCWDOw|https://www.hurstbourneacresky.gov/formspermitsapps","Ordinance No. 1 Series 2024 and current 2026 forms establish 1% on compensation for services inside the city, apportionment, nonresident worksite incidence, and employer withholding. The widely reported 2024-07-01 operational date was not established by the inspected primary documents."
Independence,1.25%,"Current city tax page retrieved 2026-08-27","https://www.cityofindependence.org/195/Taxes","Current page expressly covers employees who work in the city."
Jeffersontown,1%,"Current city page and 2024 form","https://jeffersontownky.com/383/Occupational-Tax|https://jeffersontownky.com/DocumentCenter/View/2779/Employer-Quarterly-Withholding-Tax-Form","Current municipal sources establish work performed in the city and withholding."
Jeffersonville,2%,"Current Montgomery County official guidance","https://montgomerycounty.ky.gov/Dept/Documents/FAQs.pdf","Corrects the KLC FY2023 1% entry; obtain a city-hosted form for stronger archival durability."
LaGrange,1%,"Current city page retrieved 2026-08-27","https://www.lagrangeky.gov/codeenforcement","Current city page covers W-2 employees working within city limits."
Lakeside Park,1%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=|https://www.kentoncounty.org/DocumentCenter/View/2722","Current official collector materials."
Lebanon Junction,1.5%,"Current city resources and form retrieved 2026-08-27","https://lebanonjunctionky.com/resources/|https://lebanonjunctionky.com/wp-content/uploads/2021/02/lebanon-junction-quarterly-occupational-tax-form.pdf","Official return excludes outside-city services."
Leitchfield,1.2%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/leitchfield/latest/leitchfield_ky/0-0-0-3815|https://codelibrary.amlegal.com/codes/leitchfield/latest/leitchfield_ky/0-0-0-3768","Current code covers residents and nonresidents working in the city."
Lewisburg,1.5%,"Current city form retrieved 2026-08-27","https://cityoflewisburgky.com/media/1091/employee-employer-quartery-return.pdf","Official return excludes outside services."
Ludlow,2%,"Current city page code and delegated schedule","https://www.ludlow.org/government/departments/taxes.aspx|https://codelibrary.amlegal.com/codes/ludlow/latest/ludlow_ky/0-0-0-6706|https://www.kentoncounty.org/DocumentCenter/View/2722","Current municipal and collector sources."
Madisonville,2.5%,"Current code and forms hub retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/madisonville/latest/madisonville_ky/0-0-0-11966|https://www.madisonvilleliving.com/finance","Current code covers residents and nonresidents working in the city."
Mayfield,1.9%,"Current city registration form retrieved 2026-08-27","https://cms2.revize.com/revize/cityofmayfield/Documents/Departments/City%20Clerk/Occupational%20Tax%20Account2.pdf","Official form covers employees and job sites in the city."
Maysville,1.99%,"Code current through 2025 changes","https://library.municode.com/ky/maysville/codes/code_of_ordinances?nodeId=CD_ORD_TITXIIIFITA_CH134OCLITA","Current code establishes resident/nonresident city work and employer withholding."
McKee,1%,"Current city forms hub and reconciliation","https://mckee.ky.gov/Tax%20Forms/NewAnnualRec.pdf|https://mckee.ky.gov/Pages/Forms-and-Applications.aspx","Current city-hosted withholding reconciliation."
Middlesboro,2%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/middlesboroky/latest/middlesboro_ky/0-0-0-4977|https://codelibrary.amlegal.com/codes/middlesboroky/latest/middlesboro_ky/0-0-0-4954|https://codelibrary.amlegal.com/codes/middlesboroky/latest/middlesboro_ky/0-0-0-5065","Current code expressly covers residents and nonresidents working in the city."
Midway,2%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/midway/latest/midway_ky/0-0-0-926|https://codelibrary.amlegal.com/codes/midway/latest/midway_ky/0-0-0-959","Current code covers residents and nonresidents and withholding/refund rules."
Morehead,1.5%,"Current city reconciliation and code","https://www.morehead-ky.gov/assets/files/uploads/20250731130234_32079000.pdf|https://codelibrary.amlegal.com/codes/morehead/latest/morehead_ky/0-0-0-5752","Current city reconciliation expressly identifies local payroll/services."
Morgantown,2%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/morgantownky/latest/morgantown_ky/0-0-0-9063","Current code covers resident/nonresident work and withholding."
Mount Olivet,2%,"Current code; effective 2014","https://codelibrary.amlegal.com/codes/mountolivetky/latest/mountolivet_ky/0-0-0-520","Current code establishes earnings in the city and withholding."
Mount Vernon,1%,"Current code retrieved 2026-08-27","https://codelibrary.amlegal.com/codes/mtvernonky/latest/mtvernon_ky/0-0-0-3247|https://codelibrary.amlegal.com/codes/mtvernonky/latest/mtvernon_ky/0-0-0-3272|https://codelibrary.amlegal.com/codes/mtvernonky/latest/mtvernon_ky/0-0-0-3296","Current code covers resident/nonresident city work apportionment and withholding."
Murray,1%,"Current city information letter and code","https://www.murrayky.gov/_docs/2021-OCC_TAX_Information_Letter.pdf|https://codelibrary.amlegal.com/codes/murray/latest/murray_ky/0-0-0-21965","Current sources establish resident/nonresident work allocation and employer filing."
Newport,2.5%,"Current 2026 forms hub and city form","https://www.newportky.gov/DocumentCenter/View/455/CN-2-Application-for-Occupational-License|https://www.newportky.gov/188/Finance","Current city form covers employees working inside the city and quarterly withholding."
Oak Grove,1.5%,"Current city page and form retrieved 2026-08-27","https://oakgroveky.org/taxes-licenses-permits/payroll-tax/|https://oakgroveky.org/tcg/wp-content/uploads/2020/02/Monthly-Payroll-Tax-Form-04042019.pdf","Current city page covers all employees working inside city limits regardless of residence."
Owensboro,1.78%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/45-829.pdf","Current state repository plus KRS 67.780 and 67.788 establishes the payroll rate withholding and worksite rule."
Owenton,1%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/189-522.pdf","Current state repository plus KRS 67.780 and 67.788."
Paris,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/132-375.pdf","Current state repository plus KRS 67.780 and 67.788."
Paintsville,1.25%,2017-04-01,"https://codelibrary.amlegal.com/codes/paintsville/latest/paintsville_ky/0-0-0-4183|https://codelibrary.amlegal.com/codes/paintsville/latest/paintsville_ky/0-0-0-4134|https://web.sos.ky.gov/occupationaltaxes/131-588.pdf|https://web.sos.ky.gov/occupationaltaxes/131-589.pdf","Current code and official employer form establish 1.25% on resident and nonresident work in the city with employer withholding; the KLC 1.5% entry is stale or erroneous."
Park Hills,1.5%,"2026 July-December delegated-collector schedule","https://www.kentoncountyky.gov/232/Rates|https://www.kentoncountyky.gov/DocumentCenter/View/4262","Current official collector schedule controls over the SOS net-profit display field."
Pineville,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/137-987.pdf","Current state repository plus KRS 67.780 and 67.788."
Perryville,1.5%,"Effective no later than 2023-01-01; exact enactment date unresolved","https://www.perryvilleky.gov/forms/|https://www.perryvilleky.gov/wp-content/uploads/2022/12/Employers-Qtrly-Return-of-License-Fee-WH-2023.pdf|https://www.perryvilleky.gov/wp-content/uploads/2022/12/Application-for-Occupational-License-2023.pdf","Official city employer and business-license forms establish 1.5% withholding on gross wages and exclude services outside Perryville; the signed Ordinance 2022-005 was not located to establish a more exact effective date."
Pioneer Village,1.5%,"Current city forms retrieved 2026-08-27","https://www.cityofpioneervillage.com/Blog/9/city-forms|https://www.cityofpioneervillage.com/assets/files/uploads/_20240813100304779_85b0a06d7d0b48c28afeed81d8d0dd1b.pdf","Current city return excludes outside-city gross wages."
Prestonsburg,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/139-395.pdf","Current state repository plus KRS 67.780 and 67.788."
Princeton,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/140-396.pdf","Current state repository plus KRS 67.780 and 67.788."
Raceland,1.5%,2015-02-19,"https://web.sos.ky.gov/occupationaltaxes/226-837.pdf|https://web.sos.ky.gov/occupationaltaxes/226-839.pdf|https://web.sos.ky.gov/occupationaltaxes/226-838.pdf|https://web.sos.ky.gov/occupationaltax/","Ordinance 2015-3 and official employer forms establish 1.5% on resident and nonresident work in Raceland with employer withholding; the KLC 1% entry is stale."
Richmond,2%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/143-404.pdf","Current state repository plus KRS 67.780 and 67.788."
Russell,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/147-1262.pdf","Current state repository plus KRS 67.780 and 67.788."
Russell Springs,1%,"Current city page retrieved 2026-08-27","https://russellsprings.net/7729-2/","Current city page requires employer withholding each pay period and quarterly remittance."
Ryland Heights,1%,"2026 July-December delegated-collector schedule","https://www.kentoncountyky.gov/232/Rates|https://www.kentoncountyky.gov/DocumentCenter/View/4262","Current official collector schedule controls over the SOS net-profit display field."
Saint Matthews,0.75%,"Current city page and FY2025 audit","https://www.stmatthewsky.gov/occupational-tax/|https://www.stmatthewsky.gov/wp-content/uploads/2026/01/Audit_25.pdf","Current city page covers all persons working within the city."
Scottsville,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/152-424.pdf","Current state repository plus KRS 67.780 and 67.788."
Shelbyville,1.5%,"Current city page and employee form retrieved 2026-08-27","https://shelbyvillekentucky.com/200/Business-Tax-Information-Forms|https://www.shelbyvillekentucky.com/DocumentCenter/View/181/Annual-Individual-Occupational-Tax-Return-DOC","Current city sources control over the SOS page's net-profits-only display field."
Shepherdsville,2%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/155-1121.pdf","Current state repository plus KRS 67.780 and 67.788."
Shively,2%,"Ordinance approved 2021-04-05; effective after required publication","https://shivelyky.gov/wp-content/uploads/2021/04/Ordinance-No.-5-2021.pdf|https://shivelyky.gov/forms-documents/","Ordinance No. 5, Series 2021 establishes a 2% employee wage tax for resident and nonresident work in Shively, apportionment, and employer withholding; the publication date was not isolated. The separate 2.25% rate applies to net profits, not payroll."
Simpsonville,0.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/204-620.pdf","Current state repository plus KRS 67.780 and 67.788."
Smiths Grove,1%,"Current city notice and ordinance retrieved 2026-08-27","https://smithsgrove.org/wp-content/uploads/2022/10/2020-introduction-of-ord-2019-003-to-sg-businesses-letter-.pdf|https://smithsgrove.org/wp-content/uploads/2022/10/ordinance-2019-003-amended-smiths-grove-occupational-license-tax-.pdf","Current municipal primary material."
Somerset,0.6%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/209-688.pdf","Current state repository plus KRS 67.780 and 67.788."
Southgate,2.5%,"2026 delegated-collector schedule","https://campbellcountyky.gov/egov/apps/document/center.egov?id=3274%26view=item|https://southgateky.org/business-tax/","Current official collector rate sheet and city delegation page."
Springfield,1.5%,2024-01-01,"https://www.springfieldky.org/wp-content/uploads/2023/12/ordinance-2023-008-occupational-tax.pdf|https://www.springfieldky.org/notices/occupational-tax-increase-effective-january-1-2024/|https://www.springfieldky.org/wp-content/uploads/2025/08/Code-of-Ordinances.pdf|https://www.springfieldky.org/wp-content/uploads/2019/07/2007-010-Occupational-Ordinace-2007-Booklet.pdf|https://www.springfieldky.org/wp-content/uploads/2023/11/Employer-quarterly-return-of-lic-fee-withheld.pdf|https://www.springfieldky.org/government/forms/","Ordinance 2023-008 and current municipal materials establish a 1.5% resident/nonresident worksite tax and employer withholding."
Stanton,1%,"Current city forms page retrieved 2026-08-27","https://www.stantonky.gov/forms-and-documents","Current municipal tax-form surface corroborated by Kentucky's uniform worksite/withholding statutes."
Taylor Mill,2%,"2026 July-December delegated-collector schedule","https://www.kentoncountyky.gov/232/Rates|https://www.kentoncountyky.gov/DocumentCenter/View/4262","Current official collector schedule controls over the SOS net-profit display field."
Taylorsville,0.75%,"Current city quarterly return retrieved 2026-08-27","https://www.cityoftaylorsville.com/wp-content/uploads/2020/04/Quarterly-OLT-form-only.pdf","Official return excludes outside-city wages and requires employer withholding."
Vanceburg,1%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/164-452.pdf","Current state repository plus KRS 67.780 and 67.788."
Versailles,1.5%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/165-454.pdf","Current state repository plus KRS 67.780 and 67.788."
Villa Hills,1.5%,"2026 delegated-collector guide","https://www.kentoncounty.org/DocumentCenter/View/3321/Kenton-County-and-Cities-Occupational-Business-License-Guide?bidId=","Current official collector guide controls over the SOS net-profit display field."
Vine Grove,2%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/229-1331.pdf","Current state repository plus KRS 67.780 and 67.788."
Warsaw,1%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/208-683.pdf","Current state repository plus KRS 67.780 and 67.788."
West Liberty,1%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/171-917.pdf","Current state repository plus KRS 67.780 and 67.788."
West Point,1%,"Current Kentucky SOS repository retrieved 2026-08-27","https://web.sos.ky.gov/occupationaltax/|https://web.sos.ky.gov/occupationaltaxes/185-986.pdf","The SOS entry distinguishes the 1% occupational rate from the 2% net-profit rate."
Wilder,2.25%,"2026 delegated-collector form","https://campbellcountyky.gov/egov/documents/1761592816_36117.pdf","Current form applies a $184,500 wage cap and $4,151.25 maximum per employee."
Winchester,2.15%,2024-10-01,"https://www.winchesterky.com/DepartmentsSubPage/30/occupational-license-fees-payroll-tax|https://www.winchesterky.com/DocumentCenter/View/1608/Payroll-Tax-Instructions-Page-2-3-2024|https://www.winchesterky.com/DocumentCenter/DownloadFile/89|https://library.municode.com/ky/winchester|https://www.winchesterky.com/AgendaCenter/ViewFile/Agenda/_08062024-1138","Current Finance Department instructions and Ordinance 18-2024 establish the 2.15% payroll rate effective 2024-10-01."
